Mã số,Tên,Cơ quan ban hành,Cơ quan thực hiện,Lĩnh vực,URL
1.004837,Thủ tục đăng ký giám hộ,Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-671b-75fa-82fb-8ad05a37f638
1.004772,"Thủ tục đăng ký khai sinh cho người đã có hồ sơ, giấy tờ cá nhân",Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6711-733d-b674-fc3d805e70c8
1.004746,Thủ tục đăng ký lại kết hôn,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6711-733d-b674-f82cb6606242
1.004827,Thủ tục đăng ký khai tử có yếu tố nước ngoài tại khu vực biên giới,Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-670b-779a-a843-4c518c4ec075
1.003583,Thủ tục đăng ký khai sinh lưu động,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-66dc-714a-90a8-11942739ea86
1.001766,Thủ tục đăng ký khai tử có yếu tố nước ngoài,Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-47da-7259-b8fe-0d5327727234
1.001695,"Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài",Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-47b0-7285-b035-456104e16436
1.001669,Thủ tục đăng ký giám hộ có yếu tố nước ngoài,Bộ Tư pháp,Phòng Tư Pháp,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-47a7-74cf-a1de-4c9e077743e9
1.001193,Thủ tục đăng ký khai sinh,Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fe0-70ac-b9d6-5e9e20d6eef7
1.000893,"Thủ tục đăng ký khai sinh có yếu tố nước ngoài cho người đã có hồ sơ, giấy tờ cá nhân",Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3faf-768a-9224-a27e812b1907
1.000689,"Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con",Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3faf-768a-9224-9cb889436133
1.000894,Thủ tục đăng ký kết hôn,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fac-7489-b53b-a15eb239a6fe
1.000656,Thủ tục đăng ký khai tử,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fac-7489-b53b-9c6c958f2da4
1.001022,"Thủ tục đăng ký nhận cha, mẹ, con",Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fa6-722f-ac1a-e949c8ce3418
1.000593,Thủ tục đăng ký kết hôn lưu động,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-382c-774c-bca0-e30c261d7be4
1.000080,"Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài tại khu vực biên giới",Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-380b-73df-9a18-5658e09794d3
1.000419,Thủ tục đăng ký khai tử lưu động,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-380b-73c4-9566-9e8b26bbfec6
1.000110,Thủ tục đăng ký khai sinh có yếu tố nước ngoài tại khu vực biên giới,Bộ Tư pháp,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-380a-702c-892d-dedfddd22f02
1.000094,Thủ tục đăng ký kết hôn có yếu tố nước ngoài tại khu vực biên giới,Bộ Tư pháp,Ủy ban nhân dân cấp xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3801-752b-a01a-93596242f811
